Wall time,Step,Value
1577459398.5895932,1,58.64862823486328
1577460156.1197639,2,23.667516708374023
1577460923.202632,3,17.78559112548828
1577461680.18073,4,15.063308715820312
1577462478.7046342,5,13.379319190979004
1577463395.0614321,6,12.107004165649414
1577464337.6380239,7,11.2387113571167
1577465271.6040168,8,10.592533111572266
1577466238.716008,9,10.071508407592773
