Wall time,Step,Value
1577447875.445399,1,77.45599365234375
1577448066.24141,2,22.50385856628418
1577448266.3291688,3,14.934351921081543
1577448452.1148531,4,12.30755615234375
1577448641.688118,5,10.982343673706055
1577448815.591212,6,10.079890251159668
1577448998.6369548,7,9.39676284790039
1577449176.586803,8,8.895853042602539
1577449360.819013,9,8.534452438354492
1577449538.750085,10,8.228821754455566
1577449719.916667,11,8.01565170288086
1577449900.0802372,12,7.780712604522705
1577450080.392682,13,7.6150593757629395
1577455709.697729,14,7.481472969055176
1577455923.3161159,15,7.358725070953369
1577456110.701878,16,7.225034713745117
1577456312.1402628,17,7.152918815612793
1577456520.563201,18,7.05765962600708
1577456718.832531,19,6.953181266784668
1577456954.427881,20,6.876700401306152
